timestamp,vehicle_count,lag_1,lag_2,lag_3,day_of_week,hour
25/09/2025 17:05,23,0,0,0,Thursday,17
25/09/2025 17:10,25,23,0,0,Thursday,17
25/09/2025 21:30,0,25,23,0,Thursday,21
26/09/2025 11:40,35,0,25,23,Friday,11
26/09/2025 11:45,39,35,0,25,Friday,11
26/09/2025 11:50,39,39,35,0,Friday,11
26/09/2025 11:55,39,39,39,35,Friday,11
26/09/2025 12:00,39,39,39,39,Friday,12
26/09/2025 12:05,31,39,39,39,Friday,12
26/09/2025 12:10,39,31,39,39,Friday,12
26/09/2025 12:15,34,39,31,39,Friday,12
26/09/2025 12:20,48,34,39,31,Friday,12
26/09/2025 12:25,31,48,34,39,Friday,12
26/09/2025 12:30,26,31,48,34,Friday,12
26/09/2025 12:35,21,26,31,48,Friday,12
26/09/2025 12:40,37,21,26,31,Friday,12
26/09/2025 12:45,37,37,21,26,Friday,12
28/09/2025 19:55,0,37,37,21,Sunday,19
28/09/2025 20:00,0,0,37,37,Sunday,20
28/09/2025 20:05,29,0,0,37,Sunday,20
28/09/2025 20:10,0,29,0,0,Sunday,20
28/09/2025 20:15,37,0,29,0,Sunday,20
28/09/2025 20:20,0,37,0,29,Sunday,20
28/09/2025 20:30,0,0,37,0,Sunday,20
28/09/2025 20:35,0,0,0,37,Sunday,20
28/09/2025 20:40,1,0,0,0,Sunday,20
28/09/2025 20:45,0,1,0,0,Sunday,20
28/09/2025 20:50,0,0,1,0,Sunday,20
29/09/2025 10:25,33,0,0,1,Monday,10
29/09/2025 10:30,37,33,0,0,Monday,10
29/09/2025 10:35,28,37,33,0,Monday,10
29/09/2025 10:40,37,28,37,33,Monday,10
29/09/2025 10:45,37,37,28,37,Monday,10
29/09/2025 10:50,35,37,37,28,Monday,10
29/09/2025 10:55,14,35,37,37,Monday,10
29/09/2025 11:00,37,14,35,37,Monday,11
29/09/2025 11:05,24,37,14,35,Monday,11
29/09/2025 11:10,21,24,37,14,Monday,11
29/09/2025 11:30,24,21,24,37,Monday,11
29/09/2025 11:35,25,24,21,24,Monday,11
